instance	cell_type	group	function_color	provenance_color
_2710_	mux2_1		core_mux	agent_written
_2711_	a22o_2		core_combinational	agent_written
_2712_	mux2_1		core_mux	agent_written
_2713_	nand2_2		core_combinational	agent_written
_2714_	mux2_1		core_mux	agent_written
_2715_	a22oi_2		core_combinational	agent_written
_2716_	mux4_2		core_mux	agent_written
_2717_	mux2_1		core_mux	agent_written
_2718_	mux2_1		core_mux	agent_written
_2719_	a22o_2		core_combinational	agent_written
_2720_	a211oi_2		core_combinational	agent_written
_2721_	a31o_2		core_combinational	agent_written
_2722_	inv_2		core_combinational	agent_written
_2723_	mux2_1		core_mux	agent_written
_2724_	and2b_2		core_combinational	agent_written
_2725_	and2_2		core_combinational	agent_written
_2726_	mux4_2		core_mux	agent_written
_2727_	a21o_2		core_combinational	agent_written
_2728_	mux4_2		core_mux	agent_written
_2729_	mux4_2		core_mux	agent_written
_2730_	o22a_2		core_combinational	agent_written
_2731_	a22o_2		core_combinational	agent_written
_2732_	and3_2		core_combinational	agent_written
_2733_	a21o_2		core_combinational	agent_written
_2734_	a21oi_2		core_combinational	agent_written
_2735_	inv_2		core_combinational	agent_written
_2736_	mux4_2		core_mux	agent_written
_2737_	mux2_1		core_mux	agent_written
_2738_	mux2_1		core_mux	agent_written
_2739_	a22o_2		core_combinational	agent_written
_2740_	a211o_2		core_combinational	agent_written
_2741_	mux2_1		core_mux	agent_written
_2742_	a22o_2		core_combinational	agent_written
_2743_	mux2_1		core_mux	agent_written
_2744_	or2_2		core_combinational	agent_written
_2745_	o211a_2		core_combinational	agent_written
_2746_	a22o_2		core_combinational	agent_written
_2747_	o31a_2		core_combinational	agent_written
_2748_	mux2_1		core_mux	agent_written
_2749_	or2_2		core_combinational	agent_written
_2750_	nand2b_2		core_combinational	agent_written
_2751_	o311a_2		core_combinational	agent_written
_2752_	nand2_2		core_combinational	agent_written
_2753_	a22o_2		core_combinational	agent_written
_2754_	a22o_2		core_combinational	agent_written
_2755_	mux4_2		core_mux	agent_written
_2756_	mux4_2		core_mux	agent_written
_2757_	mux4_2		core_mux	agent_written
_2758_	a22o_2		core_combinational	agent_written
_2759_	a21o_2		core_combinational	agent_written
_2760_	or2_2		core_combinational	agent_written
_2761_	inv_2		core_combinational	agent_written
_2762_	mux2_1		core_mux	agent_written
_2763_	a22o_2		core_combinational	agent_written
_2764_	or2_2		core_combinational	agent_written
_2765_	o211a_2		core_combinational	agent_written
_2766_	or2_2		core_combinational	agent_written
_2767_	o211a_2		core_combinational	agent_written
_2768_	a211o_2		core_combinational	agent_written
